Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
carR	carR_9	Endophyte	carR_binette_bin7	binette_bin7	0.121411	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium sp002855515	Bacteria	54.14	7.51	1417	3281792
carR	carR_9	Endophyte	carR_binette_bin8	binette_bin8	0.195273	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.26	7.04	2115	1700679
carR	carR_9	Endophyte	carR_binette_bin9	binette_bin9	0.17726	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.72	8.56	1226	1543179
carR	carR_10	Endophyte	carR_binette_bin1	binette_bin1	1.697003	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	100	0.02	126067	3555749
carR	carR_10	Symbiont	carR_binette_bin2	binette_bin2	87.49259	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	99.32	2.73	29832	9018450
carR	carR_10	Symbiont	carR_binette_bin3	binette_bin3	9.754697	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	85.93	0.02	12938	6319716
carR	carR_10	Endophyte	carR_binette_bin4	binette_bin4	0.2154	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	Bacteria	82.79	0.76	2227	4283448
carR	carR_10	Endophyte	carR_binette_bin5	binette_bin5	0.282073	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	85.64	7.41	1939	9364715
carR	carR_10	Endophyte	carR_binette_bin6	binette_bin6	0.184922	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	77.25	3.92	2658	4419089
carR	carR_10	Endophyte	carR_binette_bin7	binette_bin7	0.120213	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium sp002855515	Bacteria	54.14	7.51	1417	3281792
carR	carR_10	Endophyte	carR_binette_bin8	binette_bin8	0.137762	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.26	7.04	2115	1700679
carR	carR_10	Endophyte	carR_binette_bin9	binette_bin9	0.115341	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.72	8.56	1226	1543179
hok	hok_1	Symbiont	hok_binette_bin1	binette_bin1	78.223231	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium cosmicum_A	Bacteria	99.9	0.13	112396	8160926
